time (s),getData(":pwr" ?result "tran") (W)
14.26E-9,1.906E-3
14.26E-9,2.071E-3
14.27E-9,2.234E-3
14.27E-9,2.323E-3
14.27E-9,2.362E-3
14.28E-9,2.340E-3
14.28E-9,2.266E-3
14.29E-9,2.142E-3
14.29E-9,2.008E-3
14.30E-9,1.889E-3
14.30E-9,1.746E-3
14.31E-9,1.605E-3
14.31E-9,1.460E-3
14.32E-9,1.313E-3
14.32E-9,1.203E-3
14.33E-9,1.112E-3
14.34E-9,1.032E-3
14.34E-9,961.3E-6
14.35E-9,909.1E-6
14.35E-9,879.2E-6
14.36E-9,890.7E-6
14.37E-9,899.4E-6
14.37E-9,891.6E-6
14.38E-9,881.8E-6
14.38E-9,901.4E-6
14.38E-9,946.0E-6
14.39E-9,1.021E-3
14.39E-9,1.092E-3
14.40E-9,1.147E-3
14.40E-9,1.177E-3
14.41E-9,1.202E-3
14.41E-9,1.218E-3
14.42E-9,1.226E-3
14.42E-9,1.229E-3
14.42E-9,1.228E-3
14.43E-9,1.220E-3
14.43E-9,1.201E-3
14.44E-9,1.179E-3
14.44E-9,1.158E-3
14.44E-9,1.129E-3
14.45E-9,1.100E-3
14.45E-9,1.064E-3
14.45E-9,1.019E-3
14.46E-9,979.6E-6
14.46E-9,948.1E-6
14.47E-9,930.6E-6
14.47E-9,921.9E-6
14.48E-9,922.3E-6
14.49E-9,968.1E-6
14.50E-9,1.098E-3
14.50E-9,1.262E-3
14.51E-9,1.374E-3
14.52E-9,1.410E-3
14.52E-9,1.468E-3
14.53E-9,1.658E-3
14.54E-9,1.897E-3
14.54E-9,2.152E-3
14.55E-9,2.272E-3
14.55E-9,2.307E-3
14.56E-9,2.290E-3
14.56E-9,2.298E-3
14.57E-9,2.385E-3
14.57E-9,2.497E-3
14.58E-9,2.574E-3
14.59E-9,2.575E-3
14.59E-9,2.514E-3
14.60E-9,2.404E-3
14.60E-9,2.300E-3
14.61E-9,2.196E-3
14.61E-9,2.057E-3
14.62E-9,1.898E-3
14.62E-9,1.741E-3
14.63E-9,1.538E-3
14.64E-9,1.346E-3
14.64E-9,1.175E-3
14.65E-9,1.038E-3
14.65E-9,914.2E-6
14.66E-9,828.3E-6
14.66E-9,717.6E-6
14.66E-9,646.1E-6
14.67E-9,575.2E-6
14.67E-9,509.4E-6
14.67E-9,450.8E-6
14.68E-9,390.8E-6
14.69E-9,324.1E-6
14.70E-9,266.4E-6
14.70E-9,226.9E-6
14.71E-9,197.7E-6
14.72E-9,177.1E-6
14.73E-9,180.7E-6
14.74E-9,205.7E-6
14.75E-9,239.1E-6
14.76E-9,248.5E-6
14.77E-9,268.2E-6
14.77E-9,342.0E-6
